10468147,27/10/2018,27/10/2018,OBJETADA,05/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10468220,27/10/2018,27/10/2018,OBJETADA,30/10/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10468348,28/10/2018,28/10/2018,OBJETADA,28/10/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10470070,29/10/2018,29/10/2018,OBJETADA,08/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10492200,30/10/2018,30/10/2018,OBJETADA,01/11/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10496602,01/11/2018,01/11/2018,OBJETADA,08/11/2018,Cliente No Desea el Servicio,
10501295,06/11/2018,06/11/2018,OBJETADA,12/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10504737,07/11/2018,07/11/2018,OBJETADA,13/11/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10505211,07/11/2018,07/11/2018,OBJETADA,07/11/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10507467,08/11/2018,08/11/2018,OBJETADA,14/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10508432,08/11/2018,08/11/2018,OBJETADA,16/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10508801,09/11/2018,09/11/2018,OBJETADA,15/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10509726,09/11/2018,09/11/2018,OBJETADA,15/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10510378,09/11/2018,09/11/2018,OBJETADA,17/11/2018,Cliente No Desea el Servicio,
10512750,12/11/2018,12/11/2018,OBJETADA,19/11/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10513001,12/11/2018,12/11/2018,OBJETADA,19/11/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10515234,13/11/2018,13/11/2018,OBJETADA,21/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10516341,14/11/2018,14/11/2018,OBJETADA,20/11/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10519108,15/11/2018,15/11/2018,OBJETADA,25/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10520483,15/11/2018,15/11/2018,OBJETADA,22/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10523011,19/11/2018,19/11/2018,OBJETADA,25/11/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10523060,19/11/2018,19/11/2018,OBJETADA,30/11/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10523137,19/11/2018,19/11/2018,OBJETADA,29/11/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10527293,21/11/2018,21/11/2018,OBJETADA,27/11/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10533324,25/11/2018,25/11/2018,OBJETADA,04/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10535417,26/11/2018,26/11/2018,OBJETADA,05/12/2018,Cliente No Desea el Servicio,
10538658,28/11/2018,28/11/2018,OBJETADA,30/11/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10539764,28/11/2018,28/11/2018,OBJETADA,03/12/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10539922,28/11/2018,28/11/2018,OBJETADA,05/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10540229,28/11/2018,28/11/2018,OBJETADA,05/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10540830,29/11/2018,29/11/2018,OBJETADA,05/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10543881,30/11/2018,30/11/2018,OBJETADA,05/12/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10550103,04/12/2018,04/12/2018,OBJETADA,19/12/2018,Cliente No Desea el Servicio,
10551946,05/12/2018,05/12/2018,OBJETADA,12/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10555284,06/12/2018,06/12/2018,OBJETADA,13/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10555493,06/12/2018,06/12/2018,OBJETADA,14/12/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10557438,07/12/2018,07/12/2018,OBJETADA,15/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10557901,08/12/2018,08/12/2018,OBJETADA,15/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10557958,09/12/2018,09/12/2018,OBJETADA,17/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10564781,11/12/2018,11/12/2018,OBJETADA,18/12/2018,Cliente No Desea el Servicio,
10567135,12/12/2018,12/12/2018,OBJETADA,20/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10568229,12/12/2018,12/12/2018,OBJETADA,21/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10570138,13/12/2018,13/12/2018,OBJETADA,20/12/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10570432,13/12/2018,13/12/2018,OBJETADA,22/12/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10570564,13/12/2018,13/12/2018,OBJETADA,20/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10571613,14/12/2018,14/12/2018,OBJETADA,31/12/2018,Se ha Excedido el Limite de Reagendaci¢n,
10571893,14/12/2018,14/12/2018,OBJETADA,26/12/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10572460,15/12/2018,15/12/2018,OBJETADA,26/12/2018,Sin Fecha de Reagendaci¢n,
10572508,15/12/2018,15/12/2018,OBJETADA,22/12/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10572594,16/12/2018,16/12/2018,OBJETADA,22/12/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10572644,16/12/2018,16/12/2018,OBJETADA,26/12/2018,Cliente No Desea el Servicio,
10573079,17/12/2018,17/12/2018,OBJETADA,23/12/2018,Domicilio No Corresponde,
10573641,17/12/2018,17/12/2018,OBJETADA,23/12/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10573990,17/12/2018,17/12/2018,OBJETADA,24/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10575298,18/12/2018,18/12/2018,OBJETADA,28/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10575920,18/12/2018,18/12/2018,OBJETADA,18/12/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10577133,18/12/2018,18/12/2018,OBJETADA,27/12/2018,Distancia y/o Atenuaci¢n Fuera del Limite,
10578099,19/12/2018,19/12/2018,OBJETADA,29/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10580830,20/12/2018,20/12/2018,OBJETADA,27/12/2018,Cliente No Desea el Servicio,
10583187,21/12/2018,21/12/2018,OBJETADA,28/12/2018,Cliente No Desea el Servicio,
10583347,21/12/2018,21/12/2018,OBJETADA,28/12/2018,Cliente No Desea el Servicio,
10583422,21/12/2018,21/12/2018,OBJETADA,28/12/2018,Puerto de Equipo de Acceso Da¤ado Sin Posibilidad de Reasignaci¢n,
10583609,21/12/2018,21/12/2018,OBJETADA,28/12/2018,Ductos Tapado o sin Ductos,
10584075,22/12/2018,22/12/2018,OBJETADA,28/12/2018,Par Asignado Da¤ado Requiere Cambio de Terminal,
10584092,22/12/2018,22/12/2018,OBJETADA,29/12/2018,Cliente No Desea el Servicio,
10584220,23/12/2018,23/12/2018,OBJETADA,03/01/2019,Cliente No Desea el Servicio,
10584363,24/12/2018,24/12/2018,OBJETADA,30/12/2018,Cliente No Desea el Servicio,
10585559,24/12/2018,24/12/2018,OBJETADA,04/01/2019,Domicilio No Corresponde,
